Term,ID,Definition,Term Type,Related Terms,Related To,Example
AS,as_abbreviation,"Abbreviation for Alignment Stability, referring to the consistency of alignment across time, roles, and environments. It reflects sustained trait-context resonance and energetic integrity.",abbreviation,"alignment_stability,swastha","swastha,sustained_flow,alignment_dynamics",
Alignment Intelligence,alignment_intelligence,"The ability to perceive, interpret, and respond to one’s own alignment with internal traits and external context. Alignment Intelligence involves sensing when one is in or out of flow, recognizing sources of misalignment, and taking intentional steps to restore coherence. It is the cognitive and energetic capacity to manage internal and situational fit. High AQ (Alignment Quotient) reflects high Alignment Intelligence in practice.",concept,"#r385,#r386,aq_abbreviation","alignment_dynamics,trait_expression,alignment_quotient,recognition,situational_alignment",
Bodily Intelligence,bodily_intelligence,"A general category of intelligence reflecting the ability to learn, think, and communicate through movement, sensation, and physical interaction. It includes coordination, spatial awareness, physical control, and somatic awareness. This concept bridges Howard Gardner’s Bodily-Kinesthetic Intelligence, the MN framework’s Gross Bodily Intelligence, and related expressions such as Kinesthetic Intelligence. It represents a core mode of processing that is physical, experiential, and often nonverbal.",intelligence_group,"gross_bodily_intelligence,bodily-kinesthetic_intelligence,fine_bodily_intelligence,kinesthetic",trait_expression,
Kinesthetic,kinesthetic,"A general descriptor referring to the tendency to learn, understand, and express through physical movement, bodily sensation, and motor coordination. It includes both gross movement (strength, agility) and fine movement (precision, dexterity). This term serves as a bridge across multiple systems: Gardner’s Bodily-Kinesthetic Intelligence, the broader category of Bodily Intelligence, and the MN framework’s Gross Bodily Intelligence and Fine Bodily Intelligence. It reflects a body-centered way of processing and interacting with the world.",trait_descriptor,"Bodily-Kinesthetic Intelligence,Bodily Intelligence,Gross Bodily Intelligence,Fine Bodily Intelligence",trait_expression,
Exploration,exploration,"A drive or behavior pattern oriented toward seeking out new experiences, places, or ideas.",trait_descriptor,"curiosity,novelty_seeking","discovery_mode,openness",
Questioning,questioning,"The tendency to inquire, challenge, or investigate rather than accept information at face value.",trait_descriptor,"inquiry,doubt,curiosity","discovery_mode,logical-mathematical_intelligence",
Fantasy,fantasy,"A tendency to imagine vivid, often idealized, alternative realities or worlds beyond the tangible.",trait_descriptor,"imagination,escapism","openness,creativity",
Adaptability,adaptability,"The ability to adjust thinking, behavior, or emotions in response to changing conditions or demands.",trait_descriptor,"flexibility,resilience","alignment_dynamics,flexibility",
Open-mindedness,openmindedness,A willingness to consider new perspectives or beliefs without immediate judgment or dismissal.,trait_descriptor,"receptivity,non_dogmatism","openness,discovery_mode",
Pattern Recognition,pattern_recognition,The ability to detect and interpret recurring structures or relationships in information or environments.,trait_descriptor,"systems_thinking,abstract_thinking",logical-mathematical_intelligence,
Conceptualization,conceptualization,"The ability to mentally form and manipulate ideas, frameworks, or abstract relationships.",trait_descriptor,"abstract_thinking,strategic_thinking","openness,realization_mode",
Duty,duty,A sense of obligation or moral responsibility to fulfill one’s roles or commitments.,trait_descriptor,"responsibility,obligation","conscientiousness,mastery_mode",
Reliability,reliability,"The quality of being consistent, dependable, and trustworthy in fulfilling expectations.",trait_descriptor,"consistency,responsibility","conscientiousness,administrative_nature",
Willpower,will_power,The internal strength to resist short-term impulses in favor of long-term goals.,trait_descriptor,"self-control,discipline",conscientiousness,
Consistency,consistency,"The tendency to show up reliably, perform steadily, and maintain standards over time.",trait_descriptor,"reliability,persistence","conscientiousness,mastery_mode",
Friendliness,friendliness,"A disposition toward warmth, social ease, and good-natured interaction.",trait_descriptor,"sociability,warmth","extraversion,interpersonal_intelligence",
Approachability,approachability,"The sense of being open, welcoming, and easy for others to engage with.",trait_descriptor,"friendliness,accessibility","extraversion,connection_mode",
Confidence,confidence,A stable sense of self-assurance in one’s abilities or worth.,trait_descriptor,"self_efficacy,security","extraversion,mastery_mode",
Boldness,boldness,"A trait marked by willingness to take risks, speak up, or act decisively in uncertain situations.",trait_descriptor,"courage,daring","adventurous_nature,entertaining_nature",
Expressiveness,expressiveness,"The ease and frequency with which one shares inner thoughts, emotions, or creative output.",trait_descriptor,"emotional_fluence,outspokenness","extraversion,entertaining_nature",
Outspokenness,outspokenness,"A tendency to speak one’s mind directly, regardless of social consequences.",trait_descriptor,"candor,assertiveness","extraversion,interpersonal_intelligence",
Empathy,empathy,The ability to feel and understand another person’s emotional state or experience.,trait_descriptor,"compassion,sensitivity","agreeableness,healing_nature",
Kindness,kindness,"A tendency toward generosity, warmth, and gentle consideration for others.",trait_descriptor,"compassion,softness","agreeableness,providing_nature",
Teamwork,teamwork,"A disposition toward collaboration, shared responsibility, and cooperative functioning.",trait_descriptor,"cooperation,group_participation","agreeableness,interpersonal_intelligence",
Supportiveness,supportiveness,"The willingness to assist, affirm, or care for others, especially in times of need.",trait_descriptor,"Helpfulness,Generosity","agreeableness,healing_nature",
Affection,affection,"A tendency to express warmth, closeness, or fondness toward others, often physically or verbally.",trait_descriptor,"warmth,emotional_closeness","agreeableness,connection_mode",
Softness,softness,"A gentle, non-confrontational, and emotionally sensitive demeanor.",trait_descriptor,"gentleness,tenderness","agreeableness,healing_nature",
Gentleness,gentleness,"The quality of being kind, careful, and mild in action or expression.",trait_descriptor,"softness,calmness","agreeableness,interpersonal_intelligence",
Lability,lability,"A tendency toward rapidly shifting emotions or mood states, often in response to minor stimuli.",trait_descriptor,"Emotional Instability,Volatility","neuroticism,misalignment",
Volatility,volatility,The likelihood of emotional outbursts or unpredictable reactivity under stress or provocation.,trait_descriptor,"reactivity,instability","neuroticism,emotional_instability",
Fear,fear,"An emotional response to perceived threat, risk, or danger. Often associated with avoidance or hypervigilance.",trait_descriptor,"anxiety,worry","neuroticism,misalignment",
Worry,worry,"Persistent cognitive rumination about future risks or uncertainties, often experienced as inner tension.",trait_descriptor,"Anxiety,Fear,Hypervigilance","neuroticism,misalignment",
Hypervigilance,hyper_vigilence,"A state of heightened alertness and scanning for threats, often accompanied by emotional and physical tension.",trait_descriptor,"fear,reactivity","neuroticism,trait_suppression",
Grit,grit,"A trait defined by perseverance and passion for long-term goals, even in the face of difficulty or failure. Popularized by psychologist Angela Duckworth, grit reflects sustained commitment, effort, and resilience over time. It is less about talent and more about tenacity.",trait_descriptor,"perseverance,persistence,resilience","mastery_mode,alignment_stability,conscientiousness",
Growth Mindset,growth_mindset,"A belief system, developed by Carol Dweck, that views abilities and intelligence as developable through effort, learning, and persistence. People with a growth mindset embrace challenges, learn from feedback, and see failure as part of the process.",belief_model,"learning_orientation,effort_focus","trait_expression,alignment_dynamics",
Novelty-Seeking,novelty_seeking,"A behavioral tendency to pursue new, unfamiliar, or stimulating experiences. Often linked to exploration, creativity, and risk-taking.",trait_descriptor,"curiosity,exploration,stimulation","discovery_mode,adventurous_nature",
Inquiry,inquiry,The active pursuit of understanding or truth through questioning and investigation. Reflects intellectual engagement and openness to uncertainty.,trait_descriptor,"questioning,curiosity","discovery_mode,logical-mathematical_intelligence",
Doubt,doubt,"A cognitive stance of skepticism or uncertainty, often leading to deeper questioning or analysis. Can foster clarity or inhibit action, depending on context.",trait_descriptor,"inquiry,critical_thinking","discovery_mode,analytical_thinking",
Escapism,escapism,"A psychological tendency to avoid discomfort or stress by retreating into distraction, fantasy, or pleasure-seeking behaviors.",trait_descriptor,"avoidance,fantasy,overstimulation",misalignment,
Resilience,resilience,"The ability to recover and maintain equilibrium in the face of adversity. In alignment systems, it reflects energy restoration and realignment capacity.",trait_descriptor,"grit,recovery,stability","alignment_stability,mastery_mode",
Receptivity,receptivity,"A trait marked by openness to new input — feedback, experience, emotion — without immediate resistance or reactivity.",trait_descriptor,"openness,acceptance,listening","presence_mode,alignment_intelligence",
Non-Dogmatism,non_dogmatism,"A mindset of flexibility in beliefs, openness to opposing views, and tolerance for ambiguity. Opposes rigid certainty or ideological fixation.",trait_descriptor,"open_mindedness,flexibility","discovery_mode,openness",
Strategic Thinking,strategic_thinking,"The capacity to consider long-term consequences, identify patterns, and make decisions based on systems-level insight.",trait_descriptor,"systems_thinking,planning","logical-mathematical_intelligence,mastery_mode",
Obligation,obligation,"A sense of duty or external expectation to fulfill roles or responsibilities, often linked to moral, social, or familial norms.",trait_descriptor,"duty,responsibility","conscientiousness,alignment_dynamics",
Persistence,persistence,"A tendency to sustain effort and focus over time, especially in the face of difficulty. Often linked to grit and long-term achievement.",trait_descriptor,"perseverance,discipline","mastery_mode,conscientiousness",
Accessibility,accessibility,"The ease with which others can approach, connect with, or engage someone emotionally or socially. Reflects openness and availability.",trait_descriptor,"approachability,friendliness","connection_mode,interpersonal_intelligence",
Self-Efficacy,self_efficacy,"A person’s belief in their capacity to influence outcomes and succeed in specific tasks. Central to motivation, resilience, and behavioral activation.",trait_descriptor,"confidence,agency,self_determination","alignment_intelligence,mastery_mode",
Security,security,"A psychological need for safety, predictability, and protection from threat. Strongly influences comfort with risk and change.",trait_descriptor,"safety,comfort,stability","presence_mode,misalignment,fear",
Courage,courage,"The willingness to act in the face of fear or uncertainty. A core enabler of growth, leadership, and transformation.",trait_descriptor,"bravery,confidence,boldness","adventurous_nature,realization_mode",
Daring,daring,"A bold, risk-forward trait that inclines a person toward defying norms, pushing boundaries, and initiating action.",trait_descriptor,"boldness,courage","entertaining_nature,adventurous_nature",
Emotional Fluency,emotional_fluence,"The ability to clearly recognize, name, and express emotional states — both one’s own and others’. Often supports empathy and social attunement.",trait_descriptor,"expressiveness,emotional_intelligence","interpersonal_intelligence,healing_nature",
Candor,candor,"A communication trait marked by honesty, directness, and transparency — even in uncomfortable situations. Balances authenticity with tact.",trait_descriptor,"outspokenness,integrity","extraversion,interpersonal_intelligence",
Group Participation,group_participation,"The tendency to engage in shared tasks and social activities with collaboration, cohesion, and mutual support.",trait_descriptor,"teamwork,cooperation","agreeableness,interpersonal_intelligence",
Learning Orientation,learning_orientation,"A mindset that prioritizes growth, exploration, and skill development over performance or fixed outcomes. Encourages openness to mistakes and adaptation.",trait_descriptor,"Growth Mindset,Development Focus,Learning Drive","growth_mindset,mastery_mode",
Effort Focus,effort_focus,"A consistent emphasis on applying energy and attention toward challenging or meaningful goals. Reflects persistence, diligence, and engagement.",trait_descriptor,"will_power,determination,grit","mastery_mode,alignment_stability",
Perseverance,perseverance,"The trait of continuing action or effort despite difficulty, delay, or failure. Often reflects internal resilience and long-term motivation.",trait_descriptor,"grit,tenacity,persistence","mastery_mode,resilience,alignment_stability",
Stimulation,stimulation,"The pursuit of sensory, intellectual, or emotional input to maintain engagement or excitement. Can be energizing or dysregulating depending on context.",trait_descriptor,"novelty_seeking,excitement,arousal","curiosity,overstimulation",
Critical Thinking,critical_thinking,"The ability to analyze, question, and evaluate information logically and objectively. Helps identify errors in reasoning and refine ideas.",trait_descriptor,"analysis,reasoning,judgment","logical-mathematical_intelligence,inquiry",
Avoidance,avoidance,"A behavioral pattern of turning away from discomfort, confrontation, or challenge. Often linked to fear, suppression, or protective responses.",trait_descriptor,"escapism,withdrawal,inhibition","misalignment,fear",
Overstimulation,overstimulation,"A state of mental, emotional, or sensory overload. Occurs when too much input exceeds one’s capacity to process or regulate effectively.",trait_descriptor,"Overwhelm,Sensory Flooding,Dysregulation","misalignment,emotional_load,stimulation",
Recovery,recovery,"The process of regaining energy, clarity, or alignment after depletion, stress, or disruption. Enables restoration of coherence and re-engagement.",trait_descriptor,"Restoration,Realignment,Regeneration","resilience,alignment_stability",
Stability,stability,"A consistent and balanced internal or external state that supports coherence, sustainability, and resilience over time.",trait_descriptor,"groundedness,predictability,reliability","alignment_stability,presence_mode",
Acceptance,acceptance,"The willingness to acknowledge and allow experiences, emotions, or situations without resistance or avoidance. Facilitates flow and presence.",trait_descriptor,"allowing,letting_go,surrender","presence_mode,stillness,emotional_fluence",
Listening,listening,"The ability to receive and attend to others’ communication with presence, openness, and attunement. Supports connection and empathy.",trait_descriptor,"attunement,receptivity,hearing","connection_mode,interpersonal_intelligence",
Open-Mindedness,open_mindedness,"A mental stance of curiosity and flexibility, marked by tolerance of new or unfamiliar ideas without immediate rejection.",trait_descriptor,"Receptivity,Cognitive Flexibility,Non-Dogmatism","discovery_mode,curiosity,alignment_intelligence",
Planning,planning,"The ability to organize, sequence, and anticipate future actions or events to achieve desired outcomes. Reflects foresight and structure.",trait_descriptor,"foresight,preparedness,organization,orderliness","mastery_mode,administrative_nature",
Bravery,bravery,"The capacity to face fear, pain, or danger with intention and integrity. Bravery does not imply fearlessness but engagement despite it.",trait_descriptor,"courage,risk_taking,valor","adventurous_nature,realization_mode,protective_nature",
Safety,safety,"A fundamental need for physical, emotional, or psychological security. Often sought through structure, predictability, or regulation.",trait_descriptor,"security,comfort,protection","presence_mode,environmental_stability,fear,protective_nature",
Comfort,comfort,"A physical or emotional state of ease, relaxation, or lack of difficulty. Often sought as a buffer against uncertainty, stress, or change.",trait_descriptor,"ease,safety,familiarity,soothing","safety,presence_mode,emotional_load",
Agency,agency,"The sense of being an active agent in one’s own life — having power to make choices, act on them, and influence outcomes.",trait_descriptor,"autonomy,initiative,control,empowerment",alignment_intelligence,
Self-Determination,self_determination,"The internal capacity and motivation to direct one’s behavior according to one’s own values, preferences, and goals.",trait_descriptor,"autonomy,agency,self_governance,self-control,self_direction","mastery_mode,self_efficacy",
Contextual Influences,contextual_influences,"Environmental, social, or situational conditions that shape the way traits are expressed or suppressed.",concept,"Situational Factors,Surroundings,Field Effects","alignment_dynamics,trait_expression",
External Conditions,external_conditions,"Observable, measurable elements in the environment that impact a person’s behavior or alignment — such as noise, heat, social cues, or time limits.",concept,"contextual_influences,stressors","situational_factors,misalignment",
Stressors,stressors,"External or internal demands that activate stress responses — particularly those that tax a person’s emotional, cognitive, or physical resources.",trait_descriptor,"triggers,pressure,demand,strain","emotional_load,cognitive_bandwidth,misalignment",
Mental Load,mental_load,"The accumulated cognitive burden from juggling multiple tasks, responsibilities, or emotional processes. Often leads to bandwidth collapse.",trait_descriptor,"Cognitive Overload,Thinking Fatigue,Background Noise","cognitive_bandwidth,misalignment,trait_expression",
Processing Capacity,processing_capacity,"The total mental resources available for understanding, integrating, or responding to information. Limited capacity increases risk of suppression or error.",trait_descriptor,"Cognitive Bandwidth,Mental Space,Working Memory","cognitive_bandwidth,trait_expression",
Focus,focus,"The ability to direct sustained attention to a single task, thought, or stimulus while resisting distractions. Essential for trait expression and alignment.",trait_descriptor,"concentration,attention_span,attention,mental_presence","presence_mode,mastery_mode,cognitive_bandwidth",
Attention Span,attention_span,The length of time a person can maintain focus on a task or stimulus without becoming distracted.,trait_descriptor,"Focus,Cognitive Endurance,Engagement Window","cognitive_bandwidth,mastery_mode",
Time Pressure,time_pressure,"A situational constraint that reduces the time available to act, decide, or respond — often increasing urgency and reducing alignment quality.",situational_factor,"Urgency,Compression,Scheduling Conflict","time_availability,misalignment,realization_mode",
Scarcity,scarcity,"A perceived or real shortage of resources — time, energy, attention, money — that constrains behavior and limits alignment.",trait_descriptor,"Deficit,Deprivation,Lack,Limited Resources","misalignment,stressors",
Scheduling,scheduling,"The process of allocating and organizing time, events, or commitments. Influences time pressure, clarity, and perceived availability.",trait_descriptor,"Planning,Time Management,Temporal Framing","time_availability,mastery_mode",
Spacing,spacing,"The degree of time, rest, or margin between tasks or engagements. Adequate spacing increases trait integration and recovery.",trait_descriptor,"White Space,Breathing Room,Recovery Window","time_availability,recovery",
Predictability,predictability,"The extent to which outcomes, events, or environments can be anticipated. Promotes safety, reduces stress, and supports alignment.",trait_descriptor,"stability,consistency,environmental_stability","environmental_stability,presence_mode,safety",
Chaos,chaos,"A state of disorganized, unpredictable, or unstable conditions that often disrupt alignment and suppress trait clarity.",trait_descriptor,"disruption,confusion,emotional_instability","misalignment,environmental_stability",
Disruption,disruption,"An interruption or breakdown of expected flow, structure, or coherence — internally or externally. Can trigger suppression or reactive adaptation.",trait_descriptor,"Interference,Disturbance,Misalignment Shock","misalignment,emotional_load",
Meaning Fit,meaning_fit,"The degree to which a task, environment, or role resonates with a person’s values, traits, or sense of purpose. High meaning fit supports sustained engagement.",trait_descriptor,"Purpose Alignment,Task Relevance,Value Resonance","task_relevance,purpose,realization_mode",
Intrinsic Motivation,intrinsic_motivation,"A self-directed drive to engage in something for its inherent satisfaction or alignment, rather than external reward.",trait_descriptor,"Inner Drive,Self-Motivation,Authentic Engagement","purpose,mastery_mode,alignment_intelligence",
Purpose Alignment,purpose_alignment,"The resonance between a person’s deeper meaning and the roles, tasks, or relationships they engage in. Fuels coherence and natural trait activation.",concept,"Meaning Fit,Life Direction,Inner Compass","purpose,alignment_dynamics,realization_mode",
Emotional Residue,emotional_residue,Lingering emotional tension or unresolved charge from past events that influences present alignment or behavior.,trait_descriptor,"Carryover Stress,Emotional Load,Suppressed Affect","emotional_load,misalignment",
Burnout,burnout,"A state of chronic emotional, physical, or cognitive depletion resulting from prolonged misalignment, overextension, or suppression of core traits.",trait_descriptor,"collapse,exhaustion,trait_depletion,overfed_tiger","trait_suppression,emotional_load,alignment_stability",
Suppression,suppression,"The internal or external inhibition of natural trait expression — often caused by fear, adaptation, or systemic misfit.",concept,"inhibition,repression,trait_distortion","misalignment,trait_expression,trait_suppression",
Group Tension,group_tension,"A state of social or interpersonal strain in group dynamics that constrains openness, safety, or alignment.",trait_descriptor,"conflict,power_struggle,social_friction","social_dynamics,misalignment",
Psychological Safety,psychological_safety,"A state in which individuals feel emotionally safe to speak, express, and engage without fear of shame, judgment, or punishment.",trait_descriptor,"belonging,trust,inclusion,vulnerability","connection_mode,group_participation,interpersonal_intelligence",
Energy Reserves,energy_reserves,"The physical, emotional, and cognitive energy available to meet life demands. Low reserves reduce trait access and increase suppression or misalignment.",trait_descriptor,"Stamina,Recovery Capacity,Systemic Bandwidth","physical_state,alignment_dynamics,cognitive_bandwidth",
Somatic Load,somatic_load,"Accumulated tension or fatigue in the body that disrupts presence, regulation, and trait expression.",trait_descriptor,"Nervous System Fatigue,Body Burden,Energetic Drag","physical_state,suppression,misalignment",
Regulation,regulation,"The ability to manage and modulate emotional, energetic, and attentional states in alignment with internal needs and external context.",trait_descriptor,"Self-Regulation,Modulation,Nervous System Balance","alignment_intelligence,trait_expression",
Expectation Ambiguity,expectation_ambiguity,"Unclear or shifting expectations that create confusion about what is wanted, valued, or allowed. Leads to misalignment and role anxiety.",trait_descriptor,"Role Confusion,Demand Uncertainty,Obligation Conflict","role_clarity,mastery_mode,misalignment",
Task Confusion,task_confusion,"A lack of clarity around task purpose, boundaries, or success criteria — making trait activation difficult and disengagement more likely.",trait_descriptor,"instructional_vagueness,misprioritization","task_relevance,realization_mode,misalignment",
Identity Conflict,identity_conflict,"A deep internal contradiction between one’s authentic sense of self and externally imposed roles, values, or behavior patterns.",trait_descriptor,"Role Dissonance,Self-Alienation,Internal Misfit","misalignment,trait_suppression",
Determination,determination,"A strong internal resolve to continue toward a goal despite challenges. Combines clarity, motivation, and refusal to quit.",trait_descriptor,"grit,drive,will_power,commitment","mastery_mode,perseverance,alignment_stability",
Tenacity,tenacity,"The quality of holding firm over time — through setbacks, opposition, or delay. Reflects persistence with flexibility.",trait_descriptor,"resilience,long_term_focus","perseverance,mastery_mode,resilience",
Integrity,integrity,"The alignment between one’s actions, values, and inner truth. Acts from coherence even when there is pressure to conform or betray self.",trait_descriptor,"congruence,authenticity,inner_alignment","authenticity,trait_expression,alignment_dynamics",
Emotional Intelligence,emotional_intelligence,"A broad capacity that involves recognizing, understanding, regulating, and effectively using emotions — both one’s own and others’ — in a way that promotes awareness, empathy, and relational or behavioral coherence. The term was popularized by Daniel Goleman, who expanded on earlier research by psychologists such as Mayer and Salovey. In Goleman’s framework, emotional intelligence (EI or EQ) consists of five core components: self-awareness, self-regulation, motivation, empathy, and social skills. These elements work together to help individuals navigate complexity, build trust, resolve conflict, and maintain internal balance. High emotional intelligence does not mean emotional suppression or being “nice” — it involves the nuanced, adaptive use of emotion as a source of data and connection. Within an alignment-based system, EI is a critical factor in regulation, connection, and adaptive awareness. It supports flow, trait access, and misalignment repair — especially in social or emotionally charged contexts. Emotional intelligence can be cultivated through intentional practice and feedback, and it is often a stronger predictor of leadership, collaboration, and well-being than cognitive intelligence alone.",concept,"Emotional Fluency,Empathy,Self-Awareness,Self-Regulation,Social Skills,EQ,Interpersonal Intelligence","alignment_intelligence,interpersonal_intelligence,healing_nature,regulation,misalignment,connection_mode",
Excitement,excitement,"A high-energy emotional state marked by anticipation, stimulation, or joy. Can activate engagement or lead to overstimulation if unregulated.",trait_descriptor,"Enthusiasm,Elation,Arousal,Stimulation","stimulation,arousal",
Arousal,arousal,"A physiological and emotional state of activation, ranging from alertness to intense excitement. It modulates attention, readiness, and engagement.",trait_descriptor,"Excitement,Activation,Alertness","stimulation,focus,presence_mode",
Allowing,allowing,A receptive and non-controlling orientation toward experience. Allowing opens space for traits to emerge without force or resistance.,trait_descriptor,"Acceptance,Receptivity,Openness","stillness,presence_mode,trait_expression",
Letting Go,letting_go,"The process of releasing attachment, resistance, or control — often in relation to thoughts, emotions, or expectations.",trait_descriptor,"Surrender,Release,Acceptance","regulation,presence_mode,authenticity",
Surrender,surrender,A deeper state of voluntary yielding to what is — allowing inner or outer forces to move without resistance.,trait_descriptor,"Letting Go,Allowing,Yielding","presence_mode,acceptance,stillness",
Ease,ease,"A state of internal lightness or lack of friction. Ease reflects alignment, reduced internal conflict, and natural flow of energy.",trait_descriptor,"flow,comfort,grace","presence_mode,emotional_fluence",
Familiarity,familiarity,"A sense of known-ness or prior exposure that creates comfort, reduced anxiety, and pattern recognition.",trait_descriptor,"comfort,predictability,safety","safety,environmental_stability,misalignment",
Soothing,soothing,An action or quality that calms or reduces emotional or physical stress. Soothing restores regulation and supports return to presence.,trait_descriptor,"calming,comfort,regulation","emotional_load,recovery,presence_mode",
Protection,protection,"The act or motivation to shield oneself or others from harm, risk, or misalignment. Can come from fear or integrity.",trait_descriptor,"safety,defense,guarding","safety,protective_nature,misalignment",
Risk-Taking,risk_taking,"A behavioral pattern involving exposure to uncertainty or potential loss in pursuit of possibility, novelty, or reward.",trait_descriptor,"daring,boldness,adventure","adventurous_nature,courage,realization_mode",
Valor,valor,"A form of courage characterized by nobility, self-sacrifice, and principled bravery in the face of fear or threat.",trait_descriptor,"bravery,honor,heroism","courage,realization_mode,mastery_mode",
Foresight,foresight,The ability to anticipate future outcomes or consequences and adjust plans accordingly. Involves both vision and risk management.,trait_descriptor,"Anticipation,Vision,Strategic Thinking","planning,strategic_thinking,mastery_mode",
Preparedness,preparedness,"A readiness to respond to future events based on prior planning, awareness, or resourcing.",trait_descriptor,"planning,preparation,contingency","mastery_mode,administrative_nature,foresight",
Organization,organization,"The capacity to structure, order, and systematize tasks, resources, or environments to support clarity and efficiency.",trait_descriptor,"structure,planning,coordination","administrative_nature,mastery_mode,conscientiousness",
Confusion,confusion,"A cognitive-emotional state of disorientation or lack of clarity. Can block decision-making, trait expression, or engagement.",trait_descriptor,"Uncertainty,Overload,Disorganization","misalignment,expectation_ambiguity",
Autonomy,autonomy,"The inner capacity and desire to make choices independently, based on one’s own needs, rhythms, and values. Autonomy supports natural trait expression and alignment by reducing external control. When blocked, it often results in suppression, resentment, or disengagement.",trait_descriptor,"self_determination,freedom,agency","alignment_intelligence,mastery_mode",
Self-Governance,self_governance,"The ability to regulate one’s own thoughts, behaviors, and energy without relying on external enforcement. Self-governance combines autonomy with responsibility — creating internal leadership and ethical coherence.",trait_descriptor,"Autonomy,Self-Discipline,Internal Authority","autonomy,mastery_mode,alignment_stability",
Self-Direction,self_direction,"A trait pattern characterized by proactive, internally motivated engagement. It reflects autonomy in action — the movement toward goals chosen by one’s deeper values and energies.",trait_descriptor,"Initiative,Internal Motivation,Purpose Orientation","purpose,autonomy,intrinsic_motivation",
Triggers,triggers,"Specific internal or external cues that activate emotional, cognitive, or behavioral patterns — often unconsciously. In the alignment system, triggers signal areas of unresolved energy, suppression, or trauma-based conditioning.",concept,"Reactivity,Activation Cues,Flashpoints","misalignment,emotional_load,suppression,alignment_intelligence",
Pressure,pressure,"A real or perceived force exerted on a person to act, decide, or produce — often from time, expectations, or performance standards. Pressure distorts trait expression when unregulated or chronic.",trait_descriptor,"stress,demand,overload,urgency","time_pressure,emotional_load,misalignment",
Demand,demand,"The level of effort, attention, or energy that a task, person, or environment requires from an individual. Excessive or mismatched demand leads to energetic strain and misalignment.",trait_descriptor,"expectation,obligation,load","time_availability,task_relevance,emotional_load",
Strain,strain,"The felt impact of prolonged or excessive demands — a precursor to fatigue, burnout, or shutdown. Strain often accumulates when energy reserves are depleted faster than they can be recovered.",trait_descriptor,"tension,fatigue,suppression","emotional_load,cognitive_bandwidth,recovery",
Concentration,concentration,"The sustained application of attention toward a single stimulus, task, or idea. Essential for mastery, learning, and flow. Disrupted by overstimulation or cognitive fragmentation.",trait_descriptor,"focus,mental_presence,attention_span","mastery_mode,cognitive_bandwidth,presence_mode",
Attention,attention,The selective direction of cognitive and sensory resources toward relevant stimuli. It governs perception and determines which traits can activate in the moment.,trait_descriptor,"focus,attunement,awareness","presence_mode,discovery_mode,alignment_intelligence",
Mental Presence,mental_presence,"The quality of being cognitively and emotionally here — undistracted, engaged, and available to what is occurring. Mental presence is a core condition for alignment and integration.",trait_descriptor,"focus,awareness,concentration,stillness","presence_mode,regulation,alignment_dynamics",
Drive,drive,"A motivational force that moves a person toward action or expression. Drives can be biological, emotional, or existential. When aligned with traits, they support flow; when misaligned, they create distortion or overexpression.",concept,"motivation,impulse,trait_amplification","trait_expression,alignment_dynamics,suppression",
Commitment,commitment,"The internal contract to stay engaged with a person, task, or direction — especially through challenge or delay. It reflects sustained intentionality and often overlaps with purpose and integrity.",trait_descriptor,"dedication,loyalty,follow_through","purpose_alignment,mastery_mode,alignment_stability",
Instructional Vagueness,instructional_vagueness,"A lack of clarity in direction, purpose, or outcome in a given task or request. Often leads to task confusion, disengagement, or trait misfiring.",trait_descriptor,"Ambiguity,Expectation Uncertainty,Task Confusion","task_confusion,misalignment,role_clarity",
Misprioritization,misprioritization,"A distortion in the ordering of tasks, values, or efforts — often leading to wasted energy, alignment drift, or superficial engagement.",trait_descriptor,"Time Mismanagement,Confused Focus,Overcommitting","misalignment,mastery_mode,task_relevance",
Long-Term Focus,long_term_focus,"The ability to maintain vision, effort, and attention across extended timelines. Supports sustained trait engagement and purpose realization.",trait_descriptor,"Commitment,Strategic Persistence,Delayed Gratification","mastery_mode,alignment_stability,perseverance",
Congruence,congruence,"A state of inner and outer alignment — when behavior, values, feelings, and roles are in harmony. Experienced as integrity and energetic coherence.",trait_descriptor,"integrity,alignment,authenticity","trait_expression,alignment_dynamics",
Inner Alignment,inner_alignment,"A subjective state in which thoughts, emotions, values, and traits are resonant and integrated. It’s the internal anchor of sustainable alignment.",concept,"Congruence,Coherence,Trait Resonance","alignment_intelligence,authenticity",
Collapse,collapse,"A breakdown of internal energy, regulation, or coherence — often following prolonged suppression, overextension, or misalignment.",concept,"Burnout,System Shutdown,Trait Crash","misalignment,emotional_load",
Exhaustion,exhaustion,"A state of deep physical, cognitive, or emotional depletion, often indicating suppression, overuse, or poor trait-context fit.",trait_descriptor,"fatigue,burnout,collapse","misalignment,energy_reserves",
Trait Depletion,trait_depletion,"A condition where repeated or overextended use of a trait leads to energetic collapse, reduced access, or distorted expression.",concept,"overuse,fatigue,suppression","burnout,collapse,suppression,mastery_mode",
Belonging,belonging,"A core human drive to feel accepted, included, and safe in relation to others or the whole. Supports alignment and connection when authentically held.",drive,"Inclusion,Acceptance,Psychological Safety","connection_mode,alignment_dynamics,interpersonal_intelligence",
Trust,trust,"A relational state in which individuals feel safe to be vulnerable, authentic, and interdependent. Critical for psychological safety and collaboration.",trait_descriptor,"faith,reliability,emotional_security","psychological_safety,connection_mode,group_participation",
